Job time = 	868.866 ms
responsetime= 	434.433 ms
Job time = 	868.866 ms
responsetime= 	434.433 ms
Job time = 	868.861 ms
responsetime= 	434.43 ms
Job time = 	868.862 ms
responsetime= 	434.431 ms
Job time = 	868.86 ms
responsetime= 	434.43 ms
